youtube_id,label
cTEhz26JRyU,shot put
rYy79y1IIPg,cooking chicken
nNLSyQKs4Zg,wrapping present
jWw5Tg0OK5E,wrapping present
mMElJrrA77Q,shot put
O12JRDM2bEc,riding camel
_5l2xB46UCs,texting
BvBvdawr6RU,baking cookies
W32g7da_rBw,cooking chicken
-X7ufJ7wRGQ,situp
oQ1zAKxDqGk,playing clarinet
8p8uZMoFe1c,playing clarinet
XJNlj1sv9z0,fixing hair
rENDZkg0cJI,fixing hair
7SkFpZRR-LQ,dying hair
cQLlHPM6H4Y,golf driving
O4IKUAEYEfQ,riding camel
tAGhDV5JScY,situp
Orf4wPHIBCA,stretching leg
Ww0a2IB7SpI,balloon blowing
DaGVOZQCX6k,dying hair
Enw5kn_0eEg,writing
kDTUJub_upI,texting
Ig6WjHtjeIA,cooking chicken
iZocjl7P0Zs,flipping pancake
a2gt6vtJ14E,playing clarinet
AcS7wXAS9zQ,situp
XEA4CJrqu-w,cooking chicken
FRLLgY9MbF8,playing ice hockey
VKMvIUqO580,playing kickball
xfju0Yk6PH4,stretching leg
UxHvdzISRWg,playing kickball
4nv7tKcW1JM,playing ice hockey
HwepbD7U3CA,golf driving
_P-iEZ6Ds0s,cooking chicken
QdRKAhOiX_I,writing
-Zedueym2Fo,cooking chicken
8yIwgbv5iec,dying hair
xe_U09VslEA,hopscotch
mi3mHq4WyR0,playing ice hockey
quNyWAt9HGg,writing
EGpb7r1ErN4,dying hair
VsugvLZlf20,shot put
Ia5ZTVQnsBw,stretching leg
tmGA7gYn_iU,riding camel
86mkvPoI_2A,balloon blowing
SDQsfIkAA9c,cooking chicken
3KhWcsYCEE8,dying hair
OoFx_s-hv-8,baking cookies
aWwHDU-jrJY,playing ice hockey
9a3yWKJdpxM,playing ice hockey
qIUSDYPbl9o,flipping pancake
E6mI7BfxtF0,playing ice hockey
xuiijkGiPXo,balloon blowing
BaOyL9LIXjA,fixing hair
dtzrH09760g,playing kickball
nBnXkIU_xU0,cooking chicken
YvVlTvH9_fI,situp
CfXqIh8betw,flipping pancake
MZ1HvEKgEaw,writing
OeSzAs9_YYE,playing kickball
nXhDnUlM6O0,playing ice hockey
dEvVcjV_TSA,playing ice hockey
2K-dquqiFz4,ripping paper
p8VRb8KenNM,playing ice hockey
TZBulH3hq1A,playing ice hockey
Bu8tDL1uE9A,flipping pancake
E1NPGDEe9Kk,baking cookies
RCMZ5nbeegc,hopscotch
Cz0eEy0o8WI,balloon blowing
sC3j5wmLDT4,stretching leg
_pW_9bJh634,writing
Yxu_fWrb2-U,dying hair
DRlrNjkxE3c,hopscotch
HO1xuuozDPM,ripping paper
47tkLH5-ASE,playing ice hockey
-XBWNbyfIDs,hopscotch
80iK0FthFpU,hopscotch
58eDQ6P_afA,writing
5dapprOc3YE,shot put
uh9JvQzGpfY,balloon blowing
sZ3htiLBlkk,hopscotch
09yxWl2Ek1M,baking cookies
ywCU0lkB_Fs,playing ice hockey
UxVnOPYmwXs,baking cookies
Cyob7dfiEw4,playing ice hockey
pRl2a4L_S9E,dying hair
P0KCXl_Kc5o,dying hair
KXhidQInra8,ripping paper
9O91m-hixj8,shot put
8L-G92dnLsM,ripping paper
y_PUe53L3Ms,balloon blowing
pSMo30HYK88,shot put
-i7p94TDe84,texting
n_sfeihU3f8,playing ice hockey
WE9gG4t0nVQ,stretching leg
A-U6b6a6va0,cooking chicken
rWipVSHylow,playing clarinet
B_bvVocWRi4,cooking chicken
DmzbK3jmlIA,texting
-LHHfaxzj7I,riding camel
jud3_Uo46Ng,writing
bcfFNLvAoYU,fixing hair
ptJRLImpEBY,texting
vdpuK0cFNWQ,balloon blowing
cK6IDGc91Mk,stretching leg
Ar15nlMXDxo,riding camel
_j93-kDc4SM,baking cookies
y9Mnv6Oy29Y,riding camel
5VE9UagQzo4,baking cookies
t06OIXGjaYg,flipping pancake
qqlCMdNW7Tw,golf driving
J3g4VEVdAgo,baking cookies
nwWGidbDORg,playing ice hockey
f8AVOncqFGg,writing
Df1mkg7Oqkg,shot put
phjkrIgeQQc,situp
8m5f7SFVbIQ,shot put
52sRaSChXUg,shot put
jjobcORrocs,texting
JaRpLEniOMY,playing clarinet
G1QKWg4qYt4,playing ice hockey
EcZOyEZnXRM,ripping paper
bDzcfykVhBU,playing clarinet
trnvdk0niCQ,dying hair
AYRohNF5vjY,fixing hair
U154xOogpds,flipping pancake
jBMqzSd3UlM,cooking chicken
JD0l1FP-al8,playing clarinet
K9HCp6PVQbA,playing kickball
JtVev-UfPSM,dying hair
LslsXyGeERs,situp
jamrs2VF8kE,cooking chicken
ovmQeyOv2ao,fixing hair
xamUQMCj0lU,golf driving
Nw0kDsRSS3M,texting
mKA4HIyn8ec,fixing hair
zDuofHpA4V4,hopscotch
a2EU68LEs3A,playing ice hockey
Do7BwSZuiUE,shot put
tWnS_LqBPWE,dying hair
Q6ocC9ZXc1M,golf driving
hQdzBW3GL7Y,riding camel
UnovBIlPLdQ,dying hair
jLSu71soJmg,fixing hair
_N68sGlZMqM,dying hair
ywh13bhEaLo,playing clarinet
U9WRQMumFqM,wrapping present
O8nNB879FlY,riding camel
NY9BPwabx8Y,fixing hair
nnXkXCEbD-g,shot put
AWLMFVTX_NI,dying hair
fkVg-XVVMHc,baking cookies
69T6rUvljVw,writing
ul-ZuTfowNo,stretching leg
QnkNZ76dLes,writing
mWpxzoqqJsg,dying hair
Gz1vQcm0c5A,playing ice hockey
YfWRGmcRLec,fixing hair
dyAhjhRvzR0,ripping paper
b3Ek854ITlE,flipping pancake
qADAHZDo1aw,fixing hair
aEP_ceJab28,golf driving
VYXlBVizYfg,golf driving
qYGoP6WpEB8,baking cookies
KI9f7Gclu28,golf driving
aYrD1CkFE8E,stretching leg
BCKfKm1vWBI,ripping paper
5rTGxFo0gus,playing kickball
h15m87WsCHQ,playing ice hockey
PW7nuPsSgEQ,hopscotch
bIZKOUSNmm8,texting
Z8eDXKDFLNA,riding camel
AXVN2hsoPnA,playing ice hockey
CrpGt8Q1Xps,shot put
n9AelAAeoOE,golf driving
RpH6iaQZjMs,wrapping present
tVvmFuitR4o,golf driving
rxWYw64LJ98,balloon blowing
aQsbTcz-gt4,balloon blowing
-I9D8V2YNds,playing clarinet
ENgpwOAwH7I,baking cookies
wiASG109_uA,baking cookies
gnEGDnxIndI,texting
gKeNHn36R3k,playing clarinet
dDBTnCEkVTA,riding camel
kMwcAPFDrhU,baking cookies
f3s4WyucCg0,hopscotch
Ks1uO7viX0k,texting
81kKfo31KwA,cooking chicken
462UM0Tf75s,cooking chicken
dqTnASlJad0,baking cookies
c5jUKpAAq5w,baking cookies
Mvqpa4evlG8,baking cookies
497AthZ5WVo,stretching leg
DufkeQOkfXs,balloon blowing
E9_mbVHKUsI,wrapping present
_2eDN8zmgU0,playing kickball
9lHNtnBSx6U,texting
AyV6ciQuAOE,playing ice hockey
BUAL2wZsyEs,situp
jL1dTv2JuZE,flipping pancake
SZInWQy3Kss,hopscotch
psgHlmiwc-4,ripping paper
PaOX1HveB0I,texting
HXnO0sbRhRI,playing kickball
pLxiCjI3nOo,riding camel
ITJPVZjPYhQ,riding camel
Z7xz0u8Mjbw,writing
JDm8wbJm63k,texting
rAmS6VOaKhU,riding camel
yHfbbGiUcu0,ripping paper
GMyIgWlAT_M,playing kickball
RGHRf1PK4RI,baking cookies
f64rZrz1VG0,baking cookies
NcG9M-VZmME,balloon blowing
vHg3_LGBRzM,writing
d2UF5Jl9JmM,golf driving
ugR03a7V3Ek,stretching leg
kr72GsUdYrs,playing clarinet
jdcSThXed6I,baking cookies
nxUw54yDVLc,writing
ySNm8YmUJ5Y,shot put
NuhgCpws31I,situp
PrazWrfgMb4,writing
ohXo6eucH6g,baking cookies
-kRPYQyOKrw,fixing hair
ZsxRd_4TCmA,dying hair
F4kglpG-x94,writing
jmUD1ve-eeg,writing
hhUYUGTZ2Ho,writing
K-iFkt7F0s0,balloon blowing
zMINHl88aqY,playing ice hockey
pOeTnC8lvQw,playing ice hockey
uIbKzq-zSHE,stretching leg
mYbkAaTJMJQ,flipping pancake
a0MOnf5GsIo,baking cookies
8vafAppY23Y,dying hair
cvzUR6KCAg8,playing kickball
scQdP7B-62s,texting
RLgNS8oI0Rs,writing
byQu-hcqMf4,playing kickball
uJIA-FeEOzM,cooking chicken
R46tDzc5eNQ,baking cookies
Y0AcqxCxyxQ,playing clarinet
wpfwDgwfB5I,stretching leg
TePip77Lc2E,writing
oHTs_fXXC0w,playing kickball
bHJsaR4Vkuw,baking cookies
YZUaBkFeDts,shot put
qEWAcKCAbvs,wrapping present
e11AvWWWwjY,writing
SsGAiov-9fg,ripping paper
EW36fZyKIqo,shot put
qVAq6OUyjBQ,playing ice hockey
KzbVqJgL77Y,fixing hair
KddE6cB2Pjg,dying hair
K0_R-0Xs_cM,baking cookies
_sAevH-MiEg,balloon blowing
8GUT0F8Fo08,stretching leg
PlwddqHJ-c8,balloon blowing
U381lib72Nw,cooking chicken
qgd5mG-nXsA,baking cookies
VBdOXL1-nUI,cooking chicken
_7nDdkmON6w,spraying
QdHwQPGmBXU,golf driving
28DLfzsXZAQ,stretching leg
t-uyM6R5rFI,cooking chicken
ohRxR4HRkVA,texting
FiArXNYWmAI,riding camel
b8BIuvzCelY,spraying
gMpIH2ibViw,cooking chicken
xnKzBO1yr_g,baking cookies
3x1MAlK4kns,golf driving
XRZ9uZ4h0Ss,writing
MBCMWPnao1s,flipping pancake
Db4aWKFqow0,cooking chicken
XiV42JVZzMI,shot put
_owcJER7u48,stretching leg
S6C-JLbJppk,playing ice hockey
IXkUld3Hkx4,cooking chicken
dLKH1MQOtuQ,fixing hair
8nswQUauacY,balloon blowing
zujOiLTa8E8,hopscotch
Mf3IyeMF8ug,wrapping present
5GQeHBVCCXY,shot put
J2N1C_S1Y3g,balloon blowing
3GFgs0aIvTc,baking cookies
XrXas0BBjCk,balloon blowing
ggZBoCAVZWc,flipping pancake
JsU_kSYA-yE,spraying
25ze0A3NqTI,cooking chicken
B5R-bboFgYg,golf driving
VEBqK5WUA88,dying hair
lktJEoNrOAU,flipping pancake
lM3E6-k0nMc,stretching leg
xZ3-G4qrF_Y,stretching leg
sCjsSUDqT3M,balloon blowing
CYoCpd23ZJ8,wrapping present
Gk6duv-N9Mw,cooking chicken
HELj-Udts2c,balloon blowing
oukE_i1vdyE,situp
gBpZM7lBjKM,fixing hair
z6UipzyBQGY,dying hair
DSfD6RP4-_A,shot put
wWBHaGketro,shot put
6FZPGXXkaus,wrapping present
oqw9LYinkLg,flipping pancake
VFq7RLH_fAw,baking cookies
jIEbknvxsBg,stretching leg
bUTjfPTxhqo,riding camel
R8VsCrpy0P0,balloon blowing
gJ9x1rK9cJM,cooking chicken
CWyMoVGmXro,fixing hair
n3Q6aQvI9GY,cooking chicken
YjBsEoKCSms,golf driving
zCB-iYXO9zU,situp
3usr-OQ59fM,riding camel
2zCQO6unYOA,playing clarinet
r-XQMXUJBqk,hopscotch
MaRpLS4516k,baking cookies
glAcLc34Z50,dying hair
XOnQFAaFwLQ,ripping paper
3c0uySvHwng,shot put
rWS7ZgOb3GI,situp
zCVpxUU-2BU,shot put
QIqDMT0TQrE,dying hair
g6nlGgHxoRk,balloon blowing
IrrK_W8X3bE,dying hair
2J6VSWoEcDk,wrapping present
bZlk5ey_4vA,riding camel
cQkcuqFCXhM,riding camel
qTMCfaGKRBQ,situp
oosodaCym3A,riding camel
jHW6GesEubw,hopscotch
m-uvHR5j_fw,riding camel
dSI9xmR2gOY,playing clarinet
7AJTJkbyWLs,situp
iNk4dkshCFg,golf driving
B8_sbnwRFdE,hopscotch
Wei7rB2tTHA,ripping paper
5qiiRtD2Kjo,baking cookies
a45Y1OVF5VI,dying hair
_FX1zrOr6T8,wrapping present
bAFZSUkT8i4,playing clarinet
X9wr5yppQaw,shot put
EbP2O-0dON4,playing kickball
GOBIRBMFpLY,shot put
REZrz8KAcsw,dying hair
FoMNXwHFwAM,dying hair
32e6T6hRm2c,situp
ZNED3EgvDJQ,writing
33QF0-1ocSM,riding camel
U5m5JM1BDAc,baking cookies
rdHOdfiS-w8,balloon blowing
ey_LAauBQKo,playing clarinet
-b9VMb0QwtY,hopscotch
4ySOBNPGnQ4,dying hair
Ocj6I-gvuDk,baking cookies
vWAc9KMW4Ug,texting
bQzHIG5_BL4,riding camel
eUv8KXu9ZvM,dying hair
ZW3DQnh_kUg,flipping pancake
MW5z256ndZY,hopscotch
HPnxr4bOYCM,texting
MXxphzGU5vU,playing ice hockey
XfYs2pF5W9M,ripping paper
J3MHQ7OHjxc,dying hair
yw1QmnJbzRM,balloon blowing
7sosjCVJsiM,situp
Wiai_KLGhFs,situp
Tr3wTYvTtzQ,dying hair
VuyoDHsRxeU,shot put
eMNKkS0VY8I,riding camel
sfSx3fMcLqc,texting
STOx-FF6sgc,balloon blowing
_IHHnQDooeI,stretching leg
cJpJaG2vC_A,dying hair
ZPVr87xIOrc,golf driving
GVpMVZ48hC8,balloon blowing
isTUMgIfMjQ,balloon blowing
HYJVUo6eEqA,balloon blowing
qNGpzvkAtTA,wrapping present
UD2nX8BH2zg,hopscotch
Xyd_fa5zoEU,situp
dg9lfjnRu0Y,fixing hair
Y1yQUd-RFwU,writing
0l7sy0L7lBI,cooking chicken
jldnHqTqtd8,balloon blowing
G3ctVk6_H8c,stretching leg
xFM-JgYUjwo,playing clarinet
vzA4APHEBk4,hopscotch
BPHSoFHwGBA,ripping paper
0Zce-xGFFqM,wrapping present
9TciAFXBKVM,balloon blowing
YMjPb_6fZ6s,flipping pancake
_FZEQZR0t3s,playing ice hockey
_w5U2-YhLRg,riding camel
0Or3nOLTTwc,flipping pancake
FevGX0DheFY,golf driving
hMrb5DoTrKI,golf driving
K1MPyj-IVcI,dying hair
ZXktApRbrtY,stretching leg
b9p-RcIBBII,texting
3UPNZyeQtrM,shot put
KE8GWFoMu1k,baking cookies
RW3A5Ror-UI,writing
EPQ3SzKSQgM,riding camel
j_AuPy4UCOk,situp
KuH1tDuRvXE,playing ice hockey
XDScB3sfJoY,flipping pancake
krYdt5uuo60,balloon blowing
6w4ayApGR_U,balloon blowing
jMp_LrDCdsg,baking cookies
zgf3NskHmfc,playing clarinet
f04bKuUBX44,riding camel
vY3oI0cgNMg,flipping pancake
Hf0mxHROHW8,ripping paper
ku_64CkGd8E,playing ice hockey
uxKBp3WStYY,balloon blowing
eH6YEhuO6E8,cooking chicken
nIetoBhHby8,golf driving
0Vx6pI74Y8o,riding camel
ra2tUZ8-Fmk,stretching leg
6WPe2m54HZ0,playing kickball
MEoW9TdGqnU,stretching leg
HhfKyPqEzWo,playing ice hockey
VT5fqwFsqA4,playing clarinet
Z3tYVxeNt0g,riding camel
whnQBcmTlYQ,balloon blowing
xItZ-6f3CBw,playing clarinet
gFm5KCLBxZg,shot put
xry-JO6yjUs,hopscotch
mfO_SO5aEjg,riding camel
aePzcW4D7ng,texting
WCqJR78DHGY,wrapping present
rhNs60XpeAM,wrapping present
5xLrWeRlzUw,spraying
z3VSmVLC800,hopscotch
yP0YESPYWUI,dying hair
uzCEI4C8Ji8,flipping pancake
x1Bmf06CTT4,dying hair
uhRUups1Tvg,golf driving
bNEgohjjyYI,ripping paper
B2-r4jGQHkI,ripping paper
VrLTLydEOBQ,texting
bo5dnogjPME,playing clarinet
TQkZ5G9zJSw,fixing hair
TY07SjtNpD0,wrapping present
9LH1StixLVg,dying hair
TH7XlcwBYUY,baking cookies
RQpC7CzK0ec,wrapping present
p2iL_CeHNwM,riding camel
6j8pn3HxMv0,shot put
BZa6vlpAlVw,flipping pancake
tLo3MSZaIPI,fixing hair
v69Fi-oVNnw,wrapping present
UdVxd1A-5ko,playing clarinet
_cRCgYlVkh0,balloon blowing
P3H5bBdnh8Q,baking cookies
st5HRxgh4Yg,wrapping present
b-U4AXoeMVA,playing ice hockey
w1wpNWF_pHo,dying hair
qoWPE1FZ8WI,golf driving
bZfQl-z6Y7Y,playing clarinet
dBjP_XxfTHk,wrapping present
Zma6JwlTCxQ,cooking chicken
JfHbszhATEw,golf driving
vE6Rdrp6a5w,playing kickball
H38epvn-EmY,playing clarinet
-Z-KvgyNArU,flipping pancake
fivHX77rMRw,playing clarinet
ZXAmrtEbDHM,playing kickball
Z08f6msPR8s,golf driving
joVYxzYjQ4E,texting
LAv24TPQgQw,playing clarinet
tN9DL8nASm4,playing ice hockey
H0WPD-IVUs4,baking cookies
lxlFU6oTFJQ,shot put
aU_SAHc3wrs,shot put
lh9WC_SQFls,wrapping present
kviEfQsS--A,texting
hxjauOu9Vs8,riding camel
3YVaYMRuorA,cooking chicken
8NUvArsxbaQ,hopscotch
yJ6pkfbuziA,ripping paper
ZqxdNT8n2Gc,dying hair
hAM0ir6KxfM,flipping pancake
80fpM8PUrUM,shot put
8PMTWY-5CNg,playing clarinet
AdjGBJ5sLqA,cooking chicken
8cGZHIlqRIc,stretching leg
rAI33HAPeDY,texting
N3RbdTJuBm0,balloon blowing
SOQAwh6JXVU,wrapping present
y0dPo1i7Hls,shot put
xzHDkzByrKQ,baking cookies
wXZxPX4Cv04,situp
qguduJRhLl4,fixing hair
dWGGLCG7oug,shot put
VxYguaUSkC4,spraying
9FmG7dhGdH8,dying hair
qFbaebxNW6c,spraying
0wVnhKjL1hk,cooking chicken
JgAjtk3nK64,fixing hair
fMBqvbXjgmc,ripping paper
GJW27skxknk,dying hair
_2vUQRWVQzM,shot put
uRi96zaZGfs,shot put
MF-74AVdqeg,playing ice hockey
CxP8MLfSqP4,riding camel
sOqGpMznKws,playing ice hockey
_VwfD31FAv4,situp
1JzxVlIfTD8,spraying
bChtWGiqQn8,playing ice hockey
lU6Z-1U2EQE,stretching leg
RVotMQFI8GU,playing kickball
FU8sFbdWk78,baking cookies
-Voc0LPhfL8,wrapping present
rBbiCadttXQ,writing
9fgOUZashOk,riding camel
EMSAnpBlVgQ,fixing hair
scoRKsinl_U,shot put
mdH7PnifplI,playing clarinet
kfd1wOdsh8k,spraying
pZU3omQV4J0,golf driving
gObWETA7oc4,situp
u50saxL0-aI,flipping pancake
s2Kem_33-rM,fixing hair
UYLKlAr8gJM,cooking chicken
clUgEizjVkM,playing ice hockey
IOxZMj62_MM,situp
5BuP7zg3EfI,hopscotch
8popo4lpXsg,playing clarinet
-BtQqYdMQU8,golf driving
JSk4ON1I-VA,fixing hair
OlVy83QcgOk,writing
g25yfyMRAFY,ripping paper
CMKBgkoe-js,hopscotch
lt7M50ZRooI,baking cookies
IhRyD8uRl_E,writing
xkdo0v_C5Cw,fixing hair
6gmc79zOAQc,baking cookies
YN1K9DLAYh0,playing ice hockey
THmm0tmAGjM,ripping paper
xThjR_s47Wo,cooking chicken
cQFfMjEwPqE,cooking chicken
ye5XDMKAVFQ,texting
3SZXL7l39Tw,dying hair
JLudytwYrEs,texting
JbnFdsmspWg,golf driving
QP2IYVyoq5I,hopscotch
tJ6zsYsLtBM,shot put
QB1fr22TCGc,spraying
lB5MNUWMkxM,playing clarinet
p84nEVeHo7E,writing
L4beWkbN-Hg,golf driving
1o6Q6F4YTDw,wrapping present
v0ygKZehx3Q,riding camel
Cq5V3kpwedk,fixing hair
nbO_LZ9w0LU,texting
hvo-5oW2f5c,riding camel
y5Z6Ca0zz14,texting
2t5W4iSoYV8,dying hair
shbwB5Ut5G4,dying hair
OrO4H4dozms,playing clarinet
BkSUp1nkZEE,shot put
fzEGABpwO2E,playing ice hockey
f_tZSvFPoyk,stretching leg
CVFmAe9Qx04,dying hair
7P6VhjNoyoU,playing ice hockey
PpMo9BzZ114,playing ice hockey
WoJe0YCjEYk,situp
7WFl898NF2Q,stretching leg
JGoc6jOLUG4,balloon blowing
MoFeizcviGg,wrapping present
hIJ6VTEKji8,hopscotch
Lcnb8Az82WE,writing
DBJqXHrqlCE,balloon blowing
ZrZXCNjFOOk,situp
SFtLNY8cowY,playing ice hockey
Czizcr-s9aM,shot put
bqlynDTN1S4,playing clarinet
ZUkWLlckdag,wrapping present
5qViTjSRjUk,riding camel
G3iYzooAZAE,wrapping present
TNBbeKqSHjY,baking cookies
nimoZaqx83M,balloon blowing
TQNWarelLBk,wrapping present
_AEADrGRlzw,shot put
Zb05M-gIKqM,cooking chicken
t0H6-IAHrnU,playing clarinet
CWPvOP7baRY,ripping paper
dWRaBTyvlm8,situp
zjmF7-dVgcQ,balloon blowing
G_K7AvWOq7E,playing ice hockey
RSRO4yT38Do,fixing hair
mF0B7kL-Rbk,writing
lRPSpBoYZq0,balloon blowing
IgfoOKp00LI,wrapping present
CvLoYdzICxo,flipping pancake
hSvgFq_ucvA,baking cookies
frfp4-OT4_o,ripping paper
CdUQ_Heiy3k,stretching leg
7TYDyd-wpyY,baking cookies
8DApt9JdJGg,wrapping present
AvXpCnacurE,playing clarinet
BcADc-m3VSk,playing ice hockey
5qN2o10UeC8,stretching leg
FzJ7MCz1CLU,cooking chicken
_3jVPrR32K4,playing ice hockey
kCmfxa1T2dg,balloon blowing
gAhsbMpusCQ,playing ice hockey
WWL-Z9nqe1c,playing clarinet
s7SkzaI57aQ,texting
VePTT-hQ4wE,hopscotch
0M8-82fq7oY,cooking chicken
bm2mbRKBUJg,stretching leg
C440S3mGSLw,playing clarinet
uuozn0i-De8,stretching leg
QiZ033i0PMM,hopscotch
O5wOu9diXr0,writing
Ky5p-L_m6BQ,writing
UZGpG7TqZHs,wrapping present
0yAa3oIB0TI,riding camel
dgRzGU76InA,golf driving
925u1qdT9zY,cooking chicken
wk97vR-3ljA,balloon blowing
fb61wQHeqXA,ripping paper
ZgfbjhasMbw,riding camel
y5pZjxr7DAk,flipping pancake
PJtkzuVzUnQ,balloon blowing
qtBdSN1yfKI,shot put
SsaGQgH0F1U,baking cookies
JJCyy8EFY8Y,playing clarinet
Eiv-DllxdsI,situp
f7NF-RsdW-g,situp
GaOmqBRhEsw,writing
yQ2Ox7-dHBs,shot put
m7mNXJYj6OA,shot put
_OlH-M97EIg,playing clarinet
s_F7FqCe6To,writing
Teq_AsQIheg,flipping pancake
PwXaaaI39rY,cooking chicken
85OFW8rbDIo,playing clarinet
wKcf_5m2ty0,baking cookies
81wF5oyKE7c,dying hair
CAPi7f_Fb10,texting
qM59xFgCM4M,golf driving
nMVtDxLo6VU,dying hair
30BLZHXwR9g,hopscotch
q6W_vnHzbkk,stretching leg
WZpQj1yMyyQ,baking cookies
kPuaGtiAFoY,flipping pancake
B6PpytTEh58,wrapping present
0Vq-tbqCPWY,golf driving
KSG7NfW0KJ0,shot put
96q99M9qT24,cooking chicken
ycl54Wh3HdA,riding camel
R0lVlJAAi0Q,stretching leg
E9iIj86IKW8,writing
tKGvJxwzec0,flipping pancake
-qADuqdh5_o,balloon blowing
FeTjce0h4B4,shot put
32aJIj6CaRA,shot put
pxNO-lQJDJc,golf driving
iIJr8Sk2xMU,situp
PQupOWLhNIA,dying hair
_Gwgm3s2EQ0,stretching leg
TLqWrnaP0w4,playing clarinet
ezJSUNYTQho,ripping paper
mAqtTlqPXAA,texting
LM0n0Xuxtrg,playing ice hockey
zxTvC3-is9M,fixing hair
Ho3Q4QlnqXw,cooking chicken
MfwiY0pJtOk,texting
Jh73PZ-C5aY,stretching leg
Qi75EWoG9Wo,situp
caI1pLlBTqw,dying hair
ayxaIsVh7TM,playing clarinet
o0VmgDUrAU8,shot put
r--0LDKvM3c,wrapping present
6OfgXMp-zPE,stretching leg
cu62FvjV9Rw,shot put
Wzz8o0xKkdo,balloon blowing
J39wmD_Beyk,fixing hair
ZiYpWnb2AjA,shot put
mB-1N02pThM,wrapping present
7fuzfzxU9aQ,dying hair
Wr8_5wFf2tQ,playing clarinet
jih5QR6vMtE,fixing hair
rqj148X9sLY,ripping paper
Bmyok-vE1Ek,writing
StgHyNX8hmE,playing ice hockey
EhY1UuFW3N4,writing
VpWSl5VY5pA,baking cookies
bH2e9td18Sc,flipping pancake
PHTAeicQ8As,golf driving
KMf_J7-RCVo,dying hair
_Zg2KZQKy_Y,wrapping present
z5tacX2coYA,hopscotch
QoGda91p-4s,baking cookies
dZxm3nvgWfk,baking cookies
hz5dEktGV-8,flipping pancake
20chDqCuGpw,cooking chicken
tRpPHylKFCQ,writing
B6odg1_D7xg,ripping paper
gHCZ8G0RybU,baking cookies
85I_GOTyJAI,dying hair
f9tZNWW-cDw,balloon blowing
92IU-iI23eg,fixing hair
6TK8J8gJ738,baking cookies
FZwQxSZVjIQ,wrapping present
M9os8QNudic,texting
Q5cQZVV41QM,spraying
W8dQcCLpigU,baking cookies
HRukKAzjH2o,cooking chicken
-ToYMwdP3l8,cooking chicken
lCarpPF-LJQ,golf driving
2e_XbnvZ6qY,flipping pancake
Qmo9D73hWXY,playing ice hockey
